"SubjectID" "ActivityID" "ActivityName" "tBodyAcc.STD...X" "tBodyAcc.STD...Y" "tBodyAcc.STD...Z" "tGravityAcc.STD...X" "tGravityAcc.STD...Y" "tGravityAcc.STD...Z" "tBodyAccJerk.STD...X" "tBodyAccJerk.STD...Y" "tBodyAccJerk.STD...Z" "tBodyGyro.STD...X" "tBodyGyro.STD...Y" "tBodyGyro.STD...Z" "tBodyGyroJerk.STD...X" "tBodyGyroJerk.STD...Y" "tBodyGyroJerk.STD...Z" "tBodyAccMag.STD.." "tGravityAccMag.STD.." "tBodyAccJerkMag.STD.." "tBodyGyroMag.STD.." "tBodyGyroJerkMag.STD.." "fBodyAcc.STD...X" "fBodyAcc.STD...Y" "fBodyAcc.STD...Z" "fBodyAccJerk.STD...X" "fBodyAccJerk.STD...Y" "fBodyAccJerk.STD...Z" "fBodyGyro.STD...X" "fBodyGyro.STD...Y" "fBodyGyro.STD...Z" "fBodyAccMag.STD.." "fBodyBodyAccJerkMag.STD.." "fBodyBodyGyroMag.STD.." "fBodyBodyGyroJerkMag.STD.." "tBodyAcc.Mean...X" "tBodyAcc.Mean...Y" "tBodyAcc.Mean...Z" "tGravityAcc.Mean...X" "tGravityAcc.Mean...Y" "tGravityAcc.Mean...Z" "tBodyAccJerk.Mean...X" "tBodyAccJerk.Mean...Y" "tBodyAccJerk.Mean...Z" "tBodyGyro.Mean...X" "tBodyGyro.Mean...Y" "tBodyGyro.Mean...Z" "tBodyGyroJerk.Mean...X" "tBodyGyroJerk.Mean...Y" "tBodyGyroJerk.Mean...Z" "tBodyAccMag.Mean.." "tGravityAccMag.Mean.." "tBodyAccJerkMag.Mean.." "tBodyGyroMag.Mean.." "tBodyGyroJerkMag.Mean.." "fBodyAcc.Mean...X" "fBodyAcc.Mean...Y" "fBodyAcc.Mean...Z" "fBodyAcc.MeanFreq...X" "fBodyAcc.MeanFreq...Y" "fBodyAcc.MeanFreq...Z" "fBodyAccJerk.Mean...X" "fBodyAccJerk.Mean...Y" "fBodyAccJerk.Mean...Z" "fBodyAccJerk.MeanFreq...X" "fBodyAccJerk.MeanFreq...Y" "fBodyAccJerk.MeanFreq...Z" "fBodyGyro.Mean...X" "fBodyGyro.Mean...Y" "fBodyGyro.Mean...Z" "fBodyGyro.MeanFreq...X" "fBodyGyro.MeanFreq...Y" "fBodyGyro.MeanFreq...Z" "fBodyAccMag.Mean.." "fBodyAccMag.MeanFreq.." "fBodyBodyAccJerkMag.Mean.." "fBodyBodyAccJerkMag.MeanFreq.." "fBodyBodyGyroMag.Mean.." "fBodyBodyGyroMag.MeanFreq.." "fBodyBodyGyroJerkMag.Mean.." "fBodyBodyGyroJerkMag.MeanFreq.."
1 2 "WALKING_UPSTAIRS" -0.938404 -0.92009078 -0.66768331 -0.92542727 -0.93701413 -0.56428842 -0.90668276 -0.93801639 -0.93593583 -0.88308911 -0.8161636 -0.94088123 -0.90122415 -0.91086005 -0.93925042 -0.70519112 -0.70519112 -0.89599425 -0.76207322 -0.89434361 -0.94829035 -0.92513687 -0.63631674 -0.92442913 -0.94321038 -0.94789152 -0.90326274 -0.822677 -0.95616508 -0.711074 -0.89635958 -0.79711285 -0.90730756 0.28602671 -0.013163359 -0.11908252 0.92740359 -0.28921515 0.15256831 0.070180689 -0.017876016 -0.0017206291 -0.0015524629 -0.18729119 0.18070522 -0.13866849 -0.025802071 -0.071418405 -0.96896136 -0.96896136 -0.97371675 -0.89843314 -0.97339341 -0.96090303 -0.96443332 -0.95667485 0.35206637 0.17454676 -0.32067339 -0.94351902 -0.96916232 -0.97344886 0.47285157 0.16719768 -0.24311457 -0.92251305 -0.92649565 -0.96822947 0.018108616 -0.22726634 -0.15169839 -0.95412665 0.20346524 -0.94543723 -0.49121253 -0.92446082 -0.031473918 -0.95197735 -0.40118872
1 3 "WALKING_DOWNSTAIRS" -0.938404 -0.92009078 -0.66768331 -0.92542727 -0.93701413 -0.56428842 -0.90668276 -0.93801639 -0.93593583 -0.88308911 -0.8161636 -0.94088123 -0.90122415 -0.91086005 -0.93925042 -0.70519112 -0.70519112 -0.89599425 -0.76207322 -0.89434361 -0.94829035 -0.92513687 -0.63631674 -0.92442913 -0.94321038 -0.94789152 -0.90326274 -0.822677 -0.95616508 -0.711074 -0.89635958 -0.79711285 -0.90730756 0.27548482 -0.02605042 -0.11815167 0.92991503 -0.28751284 0.14608559 0.069367784 -0.0049081456 -0.013672983 -0.048212671 -0.16627974 0.15417437 -0.097809669 -0.034213274 -0.060028399 -0.97622817 -0.97622817 -0.98161775 -0.93919355 -0.98674805 -0.99190627 -0.96503362 -0.96689961 0.18043767 0.13345831 0.18265917 -0.99102948 -0.97336887 -0.97170298 0.27074412 -0.27224472 -0.082492336 -0.9728456 -0.98083326 -0.97206022 -0.47914475 -0.21008368 0.049309842 -0.97564966 0.34245571 -0.97106896 0.14072902 -0.97520949 -0.16880542 -0.98568879 0.062891313
1 4 "SITTING" -0.938404 -0.92009078 -0.66768331 -0.92542727 -0.93701413 -0.56428842 -0.90668276 -0.93801639 -0.93593583 -0.88308911 -0.8161636 -0.94088123 -0.90122415 -0.91086005 -0.93925042 -0.70519112 -0.70519112 -0.89599425 -0.76207322 -0.89434361 -0.94829035 -0.92513687 -0.63631674 -0.92442913 -0.94321038 -0.94789152 -0.90326274 -0.822677 -0.95616508 -0.711074 -0.89635958 -0.79711285 -0.90730756 0.27029822 -0.032613869 -0.11752018 0.92888137 -0.29339576 0.14292592 0.074852891 0.032274322 0.012141275 -0.056641577 -0.12601846 0.11833718 -0.10223178 -0.044713461 -0.053436499 -0.9743245 -0.9743245 -0.98271214 -0.94718438 -0.98882036 -0.99302982 -0.9682839 -0.96691156 0.062700052 0.26171975 0.1518249 -0.99053617 -0.97245255 -0.97033741 0.27733393 -0.038326467 0.021813014 -0.97150165 -0.98134496 -0.96670552 -0.49695391 -0.4999058 -0.2588961 -0.97339313 0.3312055 -0.97165451 0.14864853 -0.97629733 -0.28563574 -0.98556187 0.11669529
1 5 "STANDING" -0.938404 -0.92009078 -0.66768331 -0.92542727 -0.93701413 -0.56428842 -0.90668276 -0.93801639 -0.93593583 -0.88308911 -0.8161636 -0.94088123 -0.90122415 -0.91086005 -0.93925042 -0.70519112 -0.70519112 -0.89599425 -0.76207322 -0.89434361 -0.94829035 -0.92513687 -0.63631674 -0.92442913 -0.94321038 -0.94789152 -0.90326274 -0.822677 -0.95616508 -0.711074 -0.89635958 -0.79711285 -0.90730756 0.27483295 -0.027847788 -0.12952716 0.92659966 -0.30296094 0.13830674 0.078376795 0.022276764 0.0027484994 -0.059992128 -0.08472343 0.078659262 -0.091849944 -0.029005022 -0.061235354 -0.97583556 -0.97583556 -0.98690794 -0.95741922 -0.99006205 -0.99240425 -0.96920715 -0.97965265 -0.018909896 -0.009980057 0.095215457 -0.99148001 -0.97983461 -0.98349302 0.18027241 -0.13916163 0.10085294 -0.97640453 -0.98040426 -0.96878202 -0.42750236 -0.27813128 -0.2913083 -0.97773896 0.071111544 -0.98748876 0.42224872 -0.97700701 -0.34906064 -0.99049804 -0.12171128
1 6 "LAYING" -0.938404 -0.92009078 -0.66768331 -0.92542727 -0.93701413 -0.56428842 -0.90668276 -0.93801639 -0.93593583 -0.88308911 -0.8161636 -0.94088123 -0.90122415 -0.91086005 -0.93925042 -0.70519112 -0.70519112 -0.89599425 -0.76207322 -0.89434361 -0.94829035 -0.92513687 -0.63631674 -0.92442913 -0.94321038 -0.94789152 -0.90326274 -0.822677 -0.95616508 -0.711074 -0.89635958 -0.79711285 -0.90730756 0.27921995 -0.018620399 -0.11390197 0.92566317 -0.30893973 0.1305608 0.075980393 0.017519217 0.0082080614 -0.039697949 -0.066828493 0.070547316 -0.092739553 -0.032138215 -0.072575489 -0.98171632 -0.98171632 -0.98733569 -0.96974417 -0.9878482 -0.99384268 -0.97072928 -0.97557712 -0.17797819 -0.12255647 -0.12332551 -0.99377593 -0.97898448 -0.98609861 0.079174855 -0.35372787 -0.11027662 -0.97970341 -0.98052611 -0.96020643 -0.32012497 -0.33338449 -0.050540793 -0.9780025 -0.043454815 -0.99129465 0.40441535 -0.97703453 -0.17703141 -0.98873265 0.083602937
2 1 "WALKING" -0.97541469 -0.9674579 -0.94495817 -0.98905711 -0.9838872 -0.96478113 -0.94920395 -0.97269891 -0.9777267 -0.92556647 -0.9295992 -0.96758097 -0.96230415 -0.95628941 -0.98134077 -0.95390243 -0.95390243 -0.94100781 -0.91085833 -0.94409 -0.98434996 -0.97017476 -0.94186191 -0.9616312 -0.98002631 -0.9807873 -0.92705058 -0.93201069 -0.97014338 -0.95974581 -0.934152 -0.91677415 -0.93821243 0.27974586 -0.018271026 -0.10399988 0.92613663 -0.30956386 0.12856658 0.074134632 -0.0003745209 -0.0073042715 -0.03287449 -0.065186851 0.080700108 -0.097085158 -0.045577053 -0.05067998 -0.987652 -0.987652 -0.98932893 -0.98233263 -0.99111713 -0.99537972 -0.97555993 -0.98107144 0.020857417 -0.068390496 -0.0015494309 -0.99483891 -0.98425968 -0.98671314 0.27669875 -0.29466126 -0.23270748 -0.9868077 -0.98654614 -0.97459428 -0.23254672 -0.23848159 -0.17532997 -0.98419804 0.096388225 -0.99085558 0.3706205 -0.98385918 -0.1177451 -0.99174622 0.27233903
2 2 "WALKING_UPSTAIRS" -0.97541469 -0.9674579 -0.94495817 -0.98905711 -0.9838872 -0.96478113 -0.94920395 -0.97269891 -0.9777267 -0.92556647 -0.9295992 -0.96758097 -0.96230415 -0.95628941 -0.98134077 -0.95390243 -0.95390243 -0.94100781 -0.91085833 -0.94409 -0.98434996 -0.97017476 -0.94186191 -0.9616312 -0.98002631 -0.9807873 -0.92705058 -0.93201069 -0.97014338 -0.95974581 -0.934152 -0.91677415 -0.93821243 0.27460055 -0.02503513 -0.11683085 0.92658621 -0.3107735 0.12958012 0.076194451 -0.0037109707 0.005193806 -0.028869854 -0.068346001 0.087116675 -0.095570872 -0.045698485 -0.043546352 -0.98693665 -0.98693665 -0.99314688 -0.99274936 -0.99557708 -0.99517743 -0.98208507 -0.98707442 -0.05819748 0.15450862 0.071180653 -0.99441341 -0.98931394 -0.98945989 0.33512688 -0.13952549 -0.1671075 -0.99201423 -0.99322434 -0.98579928 0.14025387 -0.019932467 0.42269439 -0.99134903 0.13195004 -0.99398366 0.4346018 -0.99093371 0.39563629 -0.99578803 0.21379941
2 3 "WALKING_DOWNSTAIRS" -0.97541469 -0.9674579 -0.94495817 -0.98905711 -0.9838872 -0.96478113 -0.94920395 -0.97269891 -0.9777267 -0.92556647 -0.9295992 -0.96758097 -0.96230415 -0.95628941 -0.98134077 -0.95390243 -0.95390243 -0.94100781 -0.91085833 -0.94409 -0.98434996 -0.97017476 -0.94186191 -0.9616312 -0.98002631 -0.9807873 -0.92705058 -0.93201069 -0.97014338 -0.95974581 -0.934152 -0.91677415 -0.93821243 0.27252874 -0.020954013 -0.11447249 0.92555526 -0.31573741 0.12642607 0.079175213 0.025020978 0.0020811765 -0.024364328 -0.066695221 0.077032498 -0.097698066 -0.037798123 -0.06105549 -0.98844633 -0.98844633 -0.99389244 -0.99373292 -0.99734041 -0.99647166 -0.9800731 -0.99040235 0.0089489738 0.00017884759 0.029224053 -0.99622392 -0.99009836 -0.9929513 0.22106657 0.13115936 0.1035574 -0.99480877 -0.99573837 -0.99304645 0.27050865 -0.1058257 0.12501119 -0.99355556 0.11890315 -0.99740725 0.3821582 -0.99587319 0.082495727 -0.9973984 0.28342812
2 4 "SITTING" -0.97541469 -0.9674579 -0.94495817 -0.98905711 -0.9838872 -0.96478113 -0.94920395 -0.97269891 -0.9777267 -0.92556647 -0.9295992 -0.96758097 -0.96230415 -0.95628941 -0.98134077 -0.95390243 -0.95390243 -0.94100781 -0.91085833 -0.94409 -0.98434996 -0.97017476 -0.94186191 -0.9616312 -0.98002631 -0.9807873 -0.92705058 -0.93201069 -0.97014338 -0.95974581 -0.934152 -0.91677415 -0.93821243 0.2757457 -0.010371994 -0.09977589 0.92417336 -0.3175966 0.1245839 0.077145726 0.018711721 0.011466155 -0.022462359 -0.068363863 0.076694399 -0.10162951 -0.041681809 -0.049140975 -0.99135299 -0.99135299 -0.99393494 -0.99146645 -0.99612756 -0.99731998 -0.98683408 -0.99128545 0.23571167 0.14119469 0.40083447 -0.99590468 -0.9907058 -0.99201704 0.41521809 0.07092957 0.1899222 -0.99435441 -0.99381065 -0.98994957 0.30375625 -0.070266118 0.049921731 -0.99369338 0.18582523 -0.99834875 0.59000098 -0.99589683 0.18641558 -0.9973455 0.38443712
2 5 "STANDING" -0.97541469 -0.9674579 -0.94495817 -0.98905711 -0.9838872 -0.96478113 -0.94920395 -0.97269891 -0.9777267 -0.92556647 -0.9295992 -0.96758097 -0.96230415 -0.95628941 -0.98134077 -0.95390243 -0.95390243 -0.94100781 -0.91085833 -0.94409 -0.98434996 -0.97017476 -0.94186191 -0.9616312 -0.98002631 -0.9807873 -0.92705058 -0.93201069 -0.97014338 -0.95974581 -0.934152 -0.91677415 -0.93821243 0.27859589 -0.015231928 -0.098908415 0.92371888 -0.31398567 0.12787786 0.073410891 0.0048205158 0.0055513158 -0.025346783 -0.074217186 0.087760115 -0.09760717 -0.043922229 -0.049796101 -0.99200078 -0.99200078 -0.99248401 -0.99262929 -0.99501892 -0.99826331 -0.98394109 -0.99048651 0.17695169 0.2415588 0.37298588 -0.99670546 -0.98626158 -0.98849434 0.35713544 0.14441309 0.28922957 -0.99303641 -0.99298218 -0.98963531 -0.018031309 -0.090440351 -0.00096543092 -0.99370298 0.30545062 -0.99227779 0.38900332 -0.99416628 0.25675176 -0.99650487 0.69196501
